id.ressource;id.dataset;title.dataset_x;title.dataset_y;description.dataset;tags.dataset
e6a3517f-dac4-446f-bffd-02216be7bfb0;683e7360559798dcce88e12e;Déclarations des entrepreneurs de spectacles vivants - espace licence - hors de France;Déclarations des entrepreneurs de spectacles vivants - espace licence - hors de France;"_**Pour les entrepreneurs de spectacles**_

Vous pouvez vérifier le statut de votre déclaration dans l’onglet « tableau » de cette base de données mise à jour quotidiennement.   
**Une déclaration au statut valide vaut licence d’entrepreneur de spectacles vivants pour cinq ans (sauf retrait de licence en cas d’illégalité). Aucun document ne vous sera envoyé pour indiquer que votre déclaration est valide ; la DRAC ne vous enverra pas de justificatif, le code du travail ayant institué une attribution tacite de licence.**

**Le numéro de licence est le numéro de déclaration. La catégorie de licence n’apparaît pas dans ce numéro mais dans le tableau.**  
  
Si la Direction générale des affaires cultures (DRAC) n'est pas revenue vers vous dans les 30 jours suivant votre déclaration, celle-ci apparaîtra sous le statut ""valide"" dans le tableau de la base de données.  
Si la DRAC vous a demandé des documents complémentaires, la licence est valide 30 jours après que le dossier ait été reçu complet et conforme à la réglementation.   
Si une déclaration que vous avez faite n’apparaît pas sur le tableau après plus d’un mois, veuillez contacter le _service technique des[démarches en lignes](https://mesdemarches.culture.gouv.fr/)_, il s’agit d’une erreur technique.

**Pour toute question sur le contenu de votre déclaration** , il convient de contacter la DRAC de l'établissement principal de votre entreprise de spectacles _par courriel_.

Pour la définition des statuts (valide, invalide, invalidé, en instruction), voir ci-dessous le paragraphe concernant la définition des statuts. 

**La base de données comprend les déclarations d'activité d'entrepreneur de spectacles vivants déposées auprès des préfets de région depuis le 23 avril 2020** , et le statut de ces déclarations (en instruction, valide, invalide, invalidé).   
Pour tout savoir sur la réglementation relative à ces licences, consulter la [plateforme des entrepreneurs de spectacles vivants](https://www.culture.gouv.fr/Sites-thematiques/Theatre-spectacles/Pour-les-professionnels/Plateforme-des-entrepreneurs-de-spectacles-vivants-PLATESV), et notamment ses fiches techniques. 

Pour chaque déclaration, le tableau comporte les données suivantes :  
\- numéro de déclaration (la lettre indiquant le type de déclaration : première demande de licence (D) ou renouvellement (R) ) ;  
\- catégorie de licence concernée par la déclaration (pour les définitions juridiques et pratiques des catégories de licences, [voir fiches 2.1, 2.2., 2.3](https://www.culture.gouv.fr/Thematiques/Theatre-spectacles/Pour-les-professionnels/Plateforme-des-entrepreneurs-de-spectacles-vivants-PLATESV#fiches)) ;   
\- date de dépôt de déclaration ;  
\- le cas échéant, date de validité de la déclaration (au cas général, date de dépôt + 30 jours ; au cas particulier, date de dépôt + une période supérieure à 30 jours si des compléments de dossiers ont été nécessaires) ;  
\- raison sociale de l'organisme (personne morale) ou nom et prénom de l'entrepreneur de spectacles personne physique (en cas d'entreprise individuelle notamment) ;  
\- code postal de l'établissement principal de l'organisme, ou de l'entrepreneur de spectacles personne physique ;  
\- numéro de siret de l'organisme ou numéro de siren de l'entrepreneur de spectacles personne physique ;  
\- code d'activité principale de l'entreprise, selon la nomenclature des activités françaises (APE-NAF) ;  
\- pour les licences de catégorie 1 (exploitation de lieu de spectacles), nom du lieu de spectacles ;  
\- pour les licences de catégorie 1, code postal du lieu de spectacles ;  
\- type de déclaration (première demande; renouvellement) ;  
\- géolocalisation : effectuée à partir du code postal de l'établissement principal de l'organisme, ou de l'adresse l'entrepreneur de spectacles personne physique.  
  
DEFINITION DES STATUTS :  
\- **valide** : La déclaration vaut licence ; l'exercice de la profession est licite ;  
Le tableau donne la date de dépôt de la déclaration et sa date de validité ;  
\- **invalide** : l'exercice de la profession au titre de cette déclaration est interdit car la durée de validité de la licence est venue à expiration, ou bien parce que la licence a été refusée. Un refus peut être dû à des raisons de forme (dossier incomplet, doublon, erreur de manipulation dans l'envoi du dossier, etc), ou de fond (dettes sociales, non respect du droit de travail ou de la propriété littéraire et artistique, absence de personne dans l'entreprise justifiant des compétences requises, dossier incomplet, etc);  
\- **invalidé** : la licence a été retirée après une période de validité. La date d'invalidation est précisée. L'exercice de la profession au titre de cette déclaration est désormais interdit. L’invalidation peut être due à une cessation d’activité ou un exercice de la profession qui n’a pas respecté le droit du travail, le droit social, la sécurité, la propriété intellectuelle. Une licence peut être invalidée quand un renouvellement est intervenu avec quelques mois d’anticipation, ce qui a entraîné un nouveau numéro de licence et l’invalidation du précédent.  
\- **en instruction** : état d'une déclaration pendant le délai d'instruction du dossier.  
L'exercice de la profession au titre de cette déclaration est interdit.  
**\- expiré** : licence venue à expiration de sa durée de validité », qui correspondra à une colonne du tableau excel qui n’existe pas encore car les premières expirations de ces licences de 2019 interviendront à compter du 1er novembre 2024.  
  
**Ce délai est, de manière incompressible, de 30 jours après réception d’un dossier complet et conforme à la réglementation.**  
Si un dossier est non conforme, et que le délai de mise en conformité donné par la DRAC à l’entrepreneur est dépassé, la déclaration devient invalide à expiration de ce délai.   
Si la mise en conformité est faite avant l’expiration du délai, le dossier devient valide 30 jours après la mise en conformité.  
Pour plus d'information sur les statuts et procédures : [consulter les points 5.3 et 5.4 de la fiche d'instruction numéro 5](https://www.culture.gouv.fr/Sites-thematiques/Theatre-spectacles/Pour-les-professionnels/Plateforme-des-entrepreneurs-de-spectacles-vivants-PLATESV/Fiche-5.-Comment-obtenir-le-recepisse-valant-licence-qui-permettra-d-exercer-L-administration-peut-elle-s-y-opposer).

Les enregistrements sont géolocalisés par rapport au code postal, et donc au centroïde de la commune.";entrepreneur-de-spectacles,exploitant-de-lieu,licences,organisme-culturel,spectacle-vivant
851a8961-0c9c-48bc-9858-9a35ab820026;6811a04691e247a5e4622e11;Manuscrits de pièces de théâtre du 19e siècle conservés aux Archives nationales;Manuscrits de pièces de théâtre du 19e siècle conservés aux Archives nationales;"Les [Archives nationales](https://www.archives-nationales.culture.gouv.fr) conservent une collection de plus de 28 000 manuscrits de pièces de théâtre soumis au bureau de la censure théâtrale (ministère de l'Intérieur) au 19e siècle. Ces œuvres représentées dans les théâtres parisiens entre la fin du 18e siècle et 1906 n’ont pour la plupart jamais été éditées. 

Les différents inventaires et bases de données internes, fruits notamment des travaux en partie publiés par Odile Krakovitch, sont désormais consultables en ligne sur le portail documentaire de l’institution. 

Les données sont également accessibles via ce jeu de données structurées qui regroupe en un seul ensemble les notices descriptives de la collection. Sont indiquées pour chaque manuscrit les informations suivantes :

  * Titre principal de la pièce ;
  * Titre complet ou variante ;
  * Théâtre de la représentation ;  

  * Auteurs : d’après les éléments des bases internes des Archives nationales ;  

  * Auteurs normalisés : harmonisation des auteurs lorsque possible et alignement avec Wikidata ;
  * Année de la 1ère représentation ;  

  * Date(s) de la 1ère représentation ;
  * Date normalisée de la 1ère représentation ;  

  * Genre théâtral ;
  * Subdivision de la pièce ;
  * Édition : existence d'une version publiée ;  

  * URL de la notice descriptive sur le portail des Archives nationales.



  


Un jeu de données connexe rassemble plus spécifiquement les [pièces de théâtre écrites par des femmes](https://data.culture.gouv.fr/explore/dataset/pieces-de-theatre-ecrites-par-des-femmes-et-representees-a-paris-1809-1906).";19e-siecle,20e-siecle,archives,litterature,paris,spectacle-vivant,theatre
cc51d662-d0e0-4a84-bca0-bd26c643b879;67f7424b137aad8bcb9ac731;Données du système de déclaration de billetterie du spectacle vivant Sibil;Données du système de déclaration de billetterie du spectacle vivant Sibil;"Le dispositif SIBIL (ou Système d’Information BILletterie) a été conçu en 2018 par la direction générale de la création artistique du ministère de la Culture afin de faciliter la transmission des données de billetterie des entrepreneurs du spectacle vivant, encadrée par la loi du 7 juillet 2016 relative à la liberté de la création, à l’architecture et au patrimoine (LCAP).

À la fin de chaque trimestre civil, avant le dixième jour du mois suivant, tous les entrepreneurs de spectacles, responsables de la billetterie, doivent transmettre dans Sibil les données relatives aux représentations du trimestre écoulé. Celles-ci sont recueillies par le département des études, de la prospective, des statistiques et de la documentation (DEPS) du ministère de la Culture, qui en assure le traitement, dans le respect du secret statistique et des autres secrets prévus par la loi, garantissant leur anonymat et leur confidentialité.

Pour des raisons ayant trait au secret des affaires, le détail des spectacles et des représentations déclarées a été exclu de cette diffusion, selon l’avis n° 20235072 du 12 octobre 2023 de la Commission d’accès aux documents administratifs, à savoir les champs relatifs à la billetterie, aux tarifs et aux recettes : « total billetterie » ; « total recette TTC » ; « prix moyen total billetterie » ; « nombre billets plein tarif » ; « recette plein tarif » ; « prix moyen plein tarif » ; « nombre billets abonnements », « forfaits et adhésions » ; « nombre billets exonérés ou gratuits ».

Ces données donnent également lieu à des publications annuelles de la part du DEPS téléchargeables sur le site web du ministère de la Culture.";spectacle-vivant
278fb12a-f75a-4891-add8-fff1d82f1622;67e59fbaa773f001a9710519;Compar:IA;Compar:IA;"[Compar:IA](https://comparia.beta.gouv.fr/) est un comparateur d'IA conversationnelles (une ""chatbot arena"") développé au sein du Ministère de la Culture avec une double mission :

* Former et sensibiliser au pluralisme des modèles, aux biais culturels et linguistiques et aux enjeux environnementaux des IA conversationnelles.
* Constituer et publier des jeux de données de questions et de préférences utiles à des fins d'observation des usages et d'amélioration des IA conversationnelles en français.

Le comparateur compar:IA est développé dans le cadre de la start-up d'Etat compar:IA (incubateur de l'[Atelier numérique](https://www.culture.gouv.fr/Thematiques/innovation-numerique/Aides-a-l-innovation-et-a-la-transformation-numerique/L-Atelier-numerique#:~:text=L'Atelier%20num%C3%A9rique%20est%20l,engager%20personnellement%20pour%20le%20r%C3%A9soudre.) et [AllIAnce](https://alliance.numerique.gouv.fr/)) intégrée au programme [beta.gouv.fr](https://beta.gouv.fr) de la [Direction interministérielle du numérique (DINUM)](https://www.numerique.gouv.fr/dinum/) qui aide les administrations publiques à construire des services numériques utiles, simples et faciles à utiliser.

Lien vers l'arène: comparia.beta.gouv.fr

Lien vers le dépôt Github du projet: <https://github.com/betagouv/ComparIA>

Pour en savoir plus: <https://www.comparia.beta.gouv.fr/a-propos>

Les données collectées via compar:IA sont publiés dans trois jeux de données :

* **Conversations compar:IA** : Jeu de données de l'ensemble des questions posées et réponses reçues sur la plateforme compar:IA.
* **Votes compar:IA** : Jeu de données regroupant les préférences exprimées par les utilisateurs après une conversation entière. Les votes permettent de comparer deux modèles lorsqu'aucune réaction n'a été donnée sur des messages individuels.
* **Réactions compar:IA** **:** Jeu de données regroupant les réactions des utilisateurs de compar:IA à l'échelle d'un message. Il reflète les préférences exprimées au fil des discussions, message par message. 
";agents-conversationels,agents-conversationels-intelligence-artificielle,artificial-intelligence,betagouv,culture,culture-numerique,direction-interministerielle-du-numerique-dinum,donnees-ouvertes,ia,langue,langue-francaise,langues,llm,ministere-de-la-culture
54e22221-840b-4b1b-afc8-530f93c908c4;67b94bd15afb2aa0b8e26089;Données enquête utilisation des archives recherche universitaire;Données enquête utilisation des archives recherche universitaire;"Cette base de données a été réalisée dans le cadre de l’enquête sur la pratique des archives par le public des étudiants et des enseignants-chercheurs, menée entre 2023 et 2024 par le service interministériel des Archives de France (SIAF) et qui a recueilli **830 réponses**. Ce travail est une prolongation de l’enquête « [Deux milliards de clics. Enquête sur les usagers en ligne des archives ](https://francearchives.gouv.fr/fr/article/339905146)» et a donné lieu à la publication du rapport intitulé « [L’avenir de la consultation des archives dans la recherche universitaire ](https://francearchives.gouv.fr/fr/article/763470835)» en juin 2024.

Le jeu de données, qui comprend les 830 réponses, est constitué des informations suivantes : 

- Le genre, l’âge, le lieu de résidence, le niveau d’études et la discipline du répondant 

- Le statut du répondant : étudiant, enseignant-chercheur à l’université, doctorant… 

- Les types d’usages des archives : en cours, pour de la recherche

- Le rapport aux services d’archives : image de l’institution lors de la première venue, image actuelle, niveau de connaissance des fonds, qualité des relations avec le(s) service(s)… 

- Pour les cours : le type de travail et de cours dans lequel il y a eu recours aux documents d’archives, les corpus utilisés… 

- Pour la recherche : les corpus utilisés, le temps passé pour la recherche, les conditions d’accueil dans le service d’archives…

- Les typologies de corpus utilisés et leurs modalités d’accès 

- Les raisons de l’absence de recours aux sources d’archives pour des cours et des recherches.

Les variables CNU, Département, STATUT_BIS, HDR, etc. en première ligne du tableur sont générées par le logiciel d’enquête. Elles sont explicitées dans la deuxième ligne. 

Les deux premières questions sont des questions dites « filtres ». Elles permettent de s’assurer que le répondant s’inscrit bien dans le public ciblé par l’enquête. Si ce n’est pas le cas, il est automatiquement renvoyé à la fin du questionnaire. 

Toutes les questions ne sont pas visibles par l’ensemble des répondants ; différents parcours sont en effet possibles : ils sont déterminés par le profil du répondant (cf : se référer au questionnaire ci-dessous qui donne la clef de lecture des variables de la base de données).";archives,enquete
ca61c1fd-0344-4f8a-811f-885d38c2f9c1;6691fbc4e33ff438151ff6b6;Journées européennes du patrimoine 2024;Journées européennes du patrimoine 2024;"Pour sa 41e édition, les Journées européennes du patrimoine seront organisées les vendredi 20, samedi 21 et dimanche 22 septembre 2024 et auront pour thèmes « le patrimoine des itinéraires, des réseaux et des connexions et le patrimoine maritime ». 

**Pour[en savoir plus](https://journeesdupatrimoine.culture.gouv.fr/).**  
  
Ce jeu de données est mis à jour quotidiennement.";evenement,jep,patrimoine
affd17b7-a8a6-4603-859a-1c20603a0889;6691fbc3e33ff438151ff6b5;Eté culturel 2024;Eté culturel 2024;"Afin de favoriser la participation à la vie culturelle, le ministère de la Culture apporte son soutien à des projets culturels et artistiques organisés pendant l’été. 

Lancé en 2020, l'Eté culturel est une opération nationale visant à soutenir des propositions artistiques et culturelles (concerts, représentations, ateliers, projets participatifs, etc.), toutes disciplines confondues, ayant lieu en juillet et août. Ces projets peuvent être proposés par une association, un particulier, une collectivité (territoriale, régionale, départementale, communale), un établissement public ou bien un organisme privé.  
L’opération se décline en « Vacances culturelles » en Outre-mer.

**Pour[en savoir plus](https://www.culture.gouv.fr/catalogue-des-demarches-et-subventions/appels-a-projets-candidatures/ete-culturel).**";arts-plastiques,evenement,musique,spectacle-vivant
126591d3-a0cd-4b99-b898-dc99c0215102;6688c177f39a615a6b1cbe7f;Aide à l'exemplaire des titres de presse postés;Aide à l'exemplaire des titres de presse postés;"L'aide à l'exemplaire pour les titres de presse postés ou portés vise à soutenir la distribution de la presse imprimée à ses abonnés. 

Elle offre une meilleure visibilité à l'ensemble de la filière. Elle est divisée en deux sections, la première section concerne les titres de presse postés. 

Elle a été instituée par le décret n° 2023-132 du 24 février 2023, qui abroge le fonds d'aide au portage de la presse et remplace notamment les tarifs postaux dits ""ciblés"" prévus dans le code des postes et des communications électroniques.";aide,presse
1a7b5747-eac6-44ee-a50d-0f01ac70e2f8;6688c176f39a615a6b1cbe7e;Label 100% EAC;Label 100% EAC;"Lancé en 2021 par le Haut Conseil de l’éducation artistique et culturelle (HCEAC), le label 100% EAC reconnaît l’engagement d’un territoire en faveur de la **généralisation de l’éducation artistique et culturelle (EAC)**.  


Décerné pour une durée de 5 ans renouvelables, ce label valorise **les collectivités et les intercommunalités** qui proposent une éducation artistique et culturelle à l’ensemble des jeunes de leur territoire, de la petite enfance à l’âge adulte. Accompagné d’outils méthodologiques permettant d’élaborer un état des lieux et une stratégie, il aide à renforcer la cohérence de l‘action, fédérer les acteurs, mobiliser d’autres partenaires, pérenniser et développer les dispositifs.   


Les ministres de la culture et de l’éducation nationale, qui co-président le HCEAC, ont confié aux préfets et aux recteurs l’attribution de ce label, après avis des services déconcentrés des deux ministères.

Dès la première session en 2022, 79 territoires, répartis dans toutes les régions, ont été labellisés 100% EAC ; 78 (dont deux d’outre-mer) l’ont été en 2023. 

A l'issue des deux premiers appels à candidature, **157 territoires sont labellisés 100% EAC.**

**NB :**  
\- La carte indique les surfaces des départements, ceux-ci peuvent inclure une ou plusieurs collectivités labellisées, dans ce cas les flèches permettent de toutes les visualiser**.**  
\- Les données concernant les partenariats et les dispositifs ne sont valables que l’année de labellisation, puisqu’ils peuvent évoluer dans le temps****.****  
  
Pour en savoir plus : <https://www.culture.gouv.fr/catalogue-des-demarches-et-subventions/appels-a-projets-candidatures/Label-100-EAC>

![](https://www.culture.gouv.fr/var/culture/storage/images/_aliases/medium/7/8/1/1/3651187-1-fre-FR/01028b98c8a3-Logo-Label-100-pour-cent-EAC.jpg)";eac,education-artistique-et-culturelle,organisations
b85655b6-028a-48b8-9d3f-4c147c35afb6;6646d7b175de9daf204c46b1;La circulation des archives en Europe et hors Europe : suivi des demandes de sortie hors du territoire communautaire;La circulation des archives en Europe et hors Europe : suivi des demandes de sortie hors du territoire communautaire;"Ce jeu de données liste les autorisations de sortie hors du territoire communautaire des biens culturels (BC) de façon définitive ou temporaire et des trésors nationaux (TN) de sortie temporaire uniquement.

**Pour en[savoir plus](https://francearchives.gouv.fr/fr/article/38060).**";archives
