id,title_www,title_demo,frequency_www,frequency_demo
53698edca3a729239d2035ac,Annexe au projet de loi de finances pour 2012. Effort financier de l’État dans le domaine de la culture et de la communication,Annexe au projet de loi de finances pour 2012. Effort financier de l’État dans le domaine de la culture et de la communication,annual,annual
5369978fa3a729239d204d11,Journées européennes du patrimoine,Journées Européennes du Patrimoine,annual,annual
536998f0a3a729239d2050d1,Liste des diplômes de l'enseignement supérieur Culture,Liste des diplômes de l'enseignement supérieur Culture,annual,annual
53699915a3a729239d20514a,Liste des Etablissements Publics,Liste des Etablissements Publics,annual,annual
53699934a3a729239d2051a1,Liste et localisation des Musées de France,Liste et localisation des Musées de France,annual,annual
5369995fa3a729239d20522b,Egalité hommes-femmes dans la culture et la communication,Egalité hommes-femmes dans la culture et la communication,annual,annual
536c3e46a3a72933d8d1b394,Catalogue des collections numérisées - Base Patrimoine Numérique,Catalogue des collections numérisées - Base Patrimoine Numérique,quarterly,quarterly
536c46d6a3a72933d8d1b3a1,Les grands repères chronologiques par domaine artistique,Les grands repères chronologiques par domaine artistique,annual,annual
536c47bfa3a72933d8d1b3a6,Liste des Immeubles protégés au titre des Monuments Historiques (archives),Liste des Immeubles protégés au titre des Monuments Historiques (archives),annual,annual
536c47d9a3a72933d8d1b3b2,Liste des objets mobiliers propriété publique classés au titre des Monuments Historiques,Liste des objets mobiliers propriété publique classés au titre des Monuments Historiques,annual,annual
53789930a3a7295dd332d9e7,Photographies série « Monuments historiques » de 1851 à 1914,Photographies série « Monuments historiques » de 1851 à 1914,unknown,punctual
54748d26c751df0555c2acbd,Thésaurus de la désignation des objets mobiliers,Thésaurus de la désignation des objets mobiliers,punctual,punctual
549946f4c751df6a78048060,Liste des films en première exclusivité,Liste des films en première exclusivité,annual,annual
5550cfd9c751df388e190c78,Nuit des Musées : programme national de la 11ème édition  le 16 mai 2015,Nuit des Musées : programme national de la 11ème édition  le 16 mai 2015,annual,annual
565db6f2c751df2d32aad370,Aides à la presse,Aides à la presse,annual,annual
5890bf72a3a72974c1f0dc82,Ressources pédagogiques du portail histoire des arts,Ressources pédagogiques du portail histoire des arts,unknown,punctual
5890bf72a3a72974c1f0dc83,Pratiques culturelles des français - Evolution 1973-2008,Pratiques culturelles des français - Evolution 1973-2008,unknown,punctual
5890bf72a3a72974cbf0dc88,Liste des établissements de l'enseignement supérieur culture,Liste des établissements de l'enseignement supérieur culture,unknown,punctual
5890bf73a3a72974c1f0dc85,Liste des organismes publics culturels géolocalisés,Liste des organismes publics culturels géolocalisés,unknown,punctual
5890bf73a3a72974cbf0dc89,Structures de la création artistique,Structures de la création artistique,unknown,punctual
5890bf74a3a72974cbf0dc8c,Galaxie des offres éditoriales de culture.fr,Galaxie des offres éditoriales de culture.fr,unknown,punctual
5890bf75a3a72974cbf0dc8e,Nuit des musées 2016,Nuit des musées 2016,unknown,punctual
5890bf76a3a72974c1f0dc8b,Photographies : Fonds de la guerre 14-18,Photographies : Fonds de la guerre 14-18,unknown,punctual
5890bf76a3a72974cbf0dc8f,Institutions culturelles productrices de ressources pédagogiques en ligne,Institutions culturelles productrices de ressources pédagogiques en ligne,unknown,punctual
5890bf77a3a72974c1f0dc8e,Fréquentation dans les salles de cinéma,Fréquentation dans les salles de cinéma,unknown,punctual
5890bf77a3a72974cbf0dc92,Etablissements cinématographiques en 2016,Etablissements cinématographiques en 2016,unknown,punctual
5890bf77a3a72974cbf0dc93,Photographies série « Monuments historiques » de 1851 à 1914,Photographies série « Monuments historiques » de 1851 à 1914,unknown,punctual
5890bf78a3a72974c1f0dc8f,Adresses des bibliothèques publiques,Adresses des bibliothèques publiques,unknown,punctual
5890bf78a3a72974cbf0dc94,Fonds stratégique pour le développement de la presse (FSDP),Fonds stratégique pour le développement de la presse (FSDP),annual,annual
5890bf79a3a72974c1f0dc91,Recensement des circulaires de tri et de sélection des archives publiques,Recensement des circulaires de tri et de sélection des archives publiques,unknown,punctual
5890bf79a3a72974cbf0dc96,Images du Palais-Royal ,Images du Palais-Royal ,unknown,punctual
5890bf79a3a72974cbf0dc97,Principales structures culturelles dans la région Pays de la Loire,Principales structures culturelles dans la région Pays de la Loire,unknown,punctual
58eb9b68c751df1377f92daa,francearchives.fr – Inventaires et lieux des archives,francearchives.fr – Inventaires et lieux des archives,punctual,punctual
591c039988ee3851bec4cbf0,Nuit des musées 2017,Nuit des musées 2017,continuous,continuous
59592252a3a7291dcf9c81d7,Littoral Occitanie : liste des immeubles protégés,Littoral Occitanie : liste des immeubles protégés,unknown,punctual
59592252a3a7291dd09c8176,Nuit des musées 2017,Nuit des musées 2017,unknown,punctual
59592252a3a7291dd09c8177,Les entrées d'archives en 2016 aux Archives nationales,Les entrées d'archives en 2016 aux Archives nationales,unknown,punctual
59592254a3a7291dd09c8178,Grands documents et images de l'histoire de France conservés par les Archives nationales,Grands documents et images de l'histoire de France conservés par les Archives nationales,unknown,punctual
59855033a3a729783d0f577f,Répertoire des ressources documentaires du ministère de la Culture,Répertoire des ressources documentaires du ministère de la Culture,unknown,punctual
59a78bf4a3a7294680fd9dc2,Etablissements cinématographiques en 2016,Etablissements cinématographiques en 2016,unknown,punctual
5a66b359b595080259223e22,Lieux culturels en Normandie,Lieux culturels en Normandie,unknown,punctual
5aab4167a3a7291ed12c89f7,Les entrées d'archives aux Archives nationales,Les entrées d'archives aux Archives nationales,unknown,punctual
5ac44defb5950877d5c04a3c,Semaine de la langue française et de la francophonie 2018,Semaine de la langue française et de la francophonie 2018,unknown,punctual
5ac44dfdb5950877d5c04a3d,Nuit de la lecture 2018,Nuit de la lecture 2018,unknown,punctual
5ac44e05b5950877d5c04a3e,Année européenne du patrimoine culturel 2018 (1e édition),Année européenne du patrimoine culturel 2018 (1e édition),unknown,punctual
5adfa98ca3a7295f0ef135a9,Rendez-vous aux Jardins 2018,Rendez-vous aux Jardins 2018,unknown,punctual
5adfa98ea3a7295f0ef135aa,Rendez-vous aux Jardins 2017,Rendez-vous aux Jardins 2017,unknown,punctual
5af120d9b595087cfabcde7a,Aide à la distribution de la presse quotidienne nationale,Aide à la distribution de la presse quotidienne nationale,annual,annual
5af120ddb595087cfabcde7c,Liste des objets mobiliers propriété publique classés au titre des Monuments Historiques,Liste des objets mobiliers propriété publique classés au titre des Monuments Historiques,unknown,punctual
5af120e0b595087cfabcde7f,Corpus d'archives numérisées des Archives nationales,Corpus d'archives numérisées des Archives nationales,unknown,punctual
5af120e2a3a7295e54c41a11,Aide au pluralisme de la presse périodique régionale et locale,Aide au pluralisme de la presse périodique régionale et locale,annual,annual
5af120e3b595087cfabcde80,Institutions culturelles productrices de ressources pédagogiques en ligne,Institutions culturelles productrices de ressources pédagogiques en ligne,unknown,punctual
5af120e5a3a7295e54c41a13,Pratiques culturelles des français - Evolution 1973-2008,Pratiques culturelles des français - Evolution 1973-2008,unknown,punctual
5af120e5b595087cfabcde81,Immeubles protégés au titre des Monuments Historiques,Immeubles protégés au titre des Monuments Historiques,weekly,weekly
5af120e7b595087cfabcde82,Fréquentation des Musées de France,Fréquentation des Musées de France,annual,annual
5af120e8a3a7295e54c41a14,Fête de la musique 2018,Fête de la musique 2018,unknown,punctual
5af120e9b595087cfabcde83,Nuit des musées 2018,Nuit des musées 2018,unknown,punctual
5af120f1a3a7295e54c41a17,Aides aux publications nationales à faibles ressources publicitaires,Aides aux publications nationales à faibles ressources publicitaires,annual,annual
5af120f2b595087cfabcde86,Base FranceTerme : Termes scientifiques et techniques,Base FranceTerme : Termes scientifiques et techniques,unknown,punctual
5af120f4b595087cfabcde87,Structures de la création artistique,Structures de la création artistique,unknown,punctual
5af120f6a3a7295e54c41a19,Principales structures culturelles dans la région Pays de la Loire,Principales structures culturelles dans la région Pays de la Loire,unknown,punctual
5af120f6b595087cfabcde88,Fréquentation dans les salles de cinéma,Fréquentation dans les salles de cinéma,unknown,punctual
5af120f7a3a7295e54c41a1a,Fête de la musique 2017,Fête de la musique 2017,unknown,punctual
5af120f8b595087cfabcde89,Grands documents et images de l'histoire de France conservés par les Archives nationales,Grands documents et images de l'histoire de France conservés par les Archives nationales,unknown,punctual
5af120faa3a7295e54c41a1b,Etablissements cinématographiques en 2017,Etablissements cinématographiques en 2017,unknown,punctual
5af120fab595087cfabcde8a,Rendez-vous aux Jardins 2018,Rendez-vous aux Jardins 2018,unknown,punctual
5af120fca3a7295e54c41a1c,Photographies : Fonds de la guerre 14-18,Photographies : Fonds de la guerre 14-18,unknown,punctual
5af120fcb595087cfabcde8b,Semaine de la langue française et de la francophonie 2018,Semaine de la langue française et de la francophonie 2018,unknown,punctual
5af120fdb595087cfabcde8c,Liste des organismes publics culturels géolocalisés,Liste des organismes publics culturels géolocalisés,unknown,punctual
5af120ffa3a7295e54c41a1d,Images du Palais-Royal ,Images du Palais-Royal ,unknown,punctual
5af12101b595087cfabcde8d,Recensement des circulaires de tri et de sélection des archives publiques,Recensement des circulaires de tri et de sélection des archives publiques,unknown,punctual
5af12104b595087cfabcde8e,"Aide aux quotidiens régionaux, départementaux et locaux à faibles ressources de petites annonces","Aide aux quotidiens régionaux, départementaux et locaux à faibles ressources de petites annonces",annual,annual
5af12105a3a7295e54c41a1f,Aide à l’exemplaire des titres de presse portés,Aide à l’exemplaire des titres de presse portés,annual,annual
5af12107a3a7295e54c41a20,Vocabulaires du ministère de la Culture,Vocabulaires du ministère de la Culture,unknown,punctual
