id,title,old_frequency
53789930a3a7295dd332d9e7,Photographies série « Monuments historiques » de 1851 à 1914,unknown
5890bf72a3a72974c1f0dc82,Ressources pédagogiques du portail histoire des arts,unknown
5890bf72a3a72974c1f0dc83,Pratiques culturelles des français - Evolution 1973-2008,unknown
5890bf72a3a72974cbf0dc88,Liste des établissements de l'enseignement supérieur culture,unknown
5890bf73a3a72974c1f0dc85,Liste des organismes publics culturels géolocalisés,unknown
5890bf73a3a72974cbf0dc89,Structures de la création artistique,unknown
5890bf74a3a72974cbf0dc8c,Galaxie des offres éditoriales de culture.fr,unknown
5890bf75a3a72974cbf0dc8e,Nuit des musées 2016,unknown
5890bf76a3a72974c1f0dc8b,Photographies : Fonds de la guerre 14-18,unknown
5890bf76a3a72974cbf0dc8f,Institutions culturelles productrices de ressources pédagogiques en ligne,unknown
5890bf77a3a72974c1f0dc8e,Fréquentation dans les salles de cinéma,unknown
5890bf77a3a72974cbf0dc92,Etablissements cinématographiques en 2016,unknown
5890bf77a3a72974cbf0dc93,Photographies série « Monuments historiques » de 1851 à 1914,unknown
5890bf78a3a72974c1f0dc8f,Adresses des bibliothèques publiques,unknown
5890bf79a3a72974c1f0dc91,Recensement des circulaires de tri et de sélection des archives publiques,unknown
5890bf79a3a72974cbf0dc96,Images du Palais-Royal ,unknown
5890bf79a3a72974cbf0dc97,Principales structures culturelles dans la région Pays de la Loire,unknown
59592252a3a7291dcf9c81d7,Littoral Occitanie : liste des immeubles protégés,unknown
59592252a3a7291dd09c8176,Nuit des musées 2017,unknown
59592252a3a7291dd09c8177,Les entrées d'archives en 2016 aux Archives nationales,unknown
59592254a3a7291dd09c8178,Grands documents et images de l'histoire de France conservés par les Archives nationales,unknown
59855033a3a729783d0f577f,Répertoire des ressources documentaires du ministère de la Culture,unknown
59a78bf4a3a7294680fd9dc2,Etablissements cinématographiques en 2016,unknown
5a66b359b595080259223e22,Lieux culturels en Normandie,unknown
5aab4167a3a7291ed12c89f7,Les entrées d'archives aux Archives nationales,unknown
5ac44defb5950877d5c04a3c,Semaine de la langue française et de la francophonie 2018,unknown
5ac44dfdb5950877d5c04a3d,Nuit de la lecture 2018,unknown
5ac44e05b5950877d5c04a3e,Année européenne du patrimoine culturel 2018 (1e édition),unknown
5adfa98ca3a7295f0ef135a9,Rendez-vous aux Jardins 2018,unknown
5adfa98ea3a7295f0ef135aa,Rendez-vous aux Jardins 2017,unknown
5af120ddb595087cfabcde7c,Liste des objets mobiliers propriété publique classés au titre des Monuments Historiques,unknown
5af120e0b595087cfabcde7f,Corpus d'archives numérisées des Archives nationales,unknown
5af120e3b595087cfabcde80,Institutions culturelles productrices de ressources pédagogiques en ligne,unknown
5af120e5a3a7295e54c41a13,Pratiques culturelles des français - Evolution 1973-2008,unknown
5af120e8a3a7295e54c41a14,Fête de la musique 2018,unknown
5af120e9b595087cfabcde83,Nuit des musées 2018,unknown
5af120f2b595087cfabcde86,Base FranceTerme : Termes scientifiques et techniques,unknown
5af120f4b595087cfabcde87,Structures de la création artistique,unknown
5af120f6a3a7295e54c41a19,Principales structures culturelles dans la région Pays de la Loire,unknown
5af120f6b595087cfabcde88,Fréquentation dans les salles de cinéma,unknown
5af120f7a3a7295e54c41a1a,Fête de la musique 2017,unknown
5af120f8b595087cfabcde89,Grands documents et images de l'histoire de France conservés par les Archives nationales,unknown
5af120faa3a7295e54c41a1b,Etablissements cinématographiques en 2017,unknown
5af120fab595087cfabcde8a,Rendez-vous aux Jardins 2018,unknown
5af120fca3a7295e54c41a1c,Photographies : Fonds de la guerre 14-18,unknown
5af120fcb595087cfabcde8b,Semaine de la langue française et de la francophonie 2018,unknown
5af120fdb595087cfabcde8c,Liste des organismes publics culturels géolocalisés,unknown
5af120ffa3a7295e54c41a1d,Images du Palais-Royal ,unknown
5af12101b595087cfabcde8d,Recensement des circulaires de tri et de sélection des archives publiques,unknown
5af12107a3a7295e54c41a20,Vocabulaires du ministère de la Culture,unknown
5af12108a3a7295e54c41a21,Répertoire des ressources documentaires du ministère de la Culture,unknown
5af12108b595080488bcde6a,Opérations archéologiques dans la région Pays de la Loire,unknown
5af1210ab595080488bcde6b,Liste des établissements de l'enseignement supérieur culture,unknown
5af1210da3a7295e54c41a23,Archives publiques en France : données statistiques,unknown
