Axe;Libellé;Définition;Exemples de propriétés
AX01;Organisation;Données sur l’identité, le statut, la nature ou l'encadrement administratif des structures culturelles.;nom_structure, siret, statut_juridique, type_structure, licence
AX02;Œuvre ou bien culturel;Données décrivant une œuvre, un objet, un document ou tout autre contenu artistique, ainsi que sa création ou ses auteurs.;titre, auteur, date_creation, genre, technique, identifiant_oeuvre
AX03;Éducation, médiation;Données liées à la médiation culturelle, à l'éducation artistique, ou aux actions de sensibilisation aux arts.;atelier_eac, dispositif_mediation, partenaire_educatif, public_scolaire
AX04;Emploi et statuts;Données relatives aux intervenants, à leur emploi, leur fonction ou statut contractuel au sein d'une structure.;statut_intervenant, type_contrat, fonction, qualif_professionnelle
AX05;Financement, aides;Données financières liées aux dispositifs d’aide, subventions, appels à projets, bénéficiaires et montants.;montant_subvention, annee_aide, dispositif_financement, financeur
AX06;Localisation, territoire;Données géographiques ou territoriales associées à une entité, un projet ou une activité culturelle.;code_insee, commune, region, lat, lon, geom, adresse
AX07;Accessibilité;Données liées à l’accessibilité (physique, numérique, linguistique, etc.) des lieux, œuvres ou services culturels.;accessibilite, langue_disponible, adaptation_handicap, code_accessibilite
AX08;Publics et réception;Données relatives aux publics (typologies, fréquentation, réception des offres, engagement).;frequentation, public_cible, nombre_visiteurs, part_de_public, retours
AX09;Cadre juridique;Données relatives au cadre réglementaire, contractuel ou légal applicable aux entités ou activités.;type_contrat, licence, accord_cadre, reglementation_applicable,licence_spectacle, autorisation_diffusion, statut_association, convention
AX10;Activité et production;Données décrivant l’activité effective ou planifiée d’un acteur culturel : production, programmation, volumes, bilans, etc.;nombre_representations, type_evenement, programmation, bilan_activite
