id.dataset,id.ressource,title.dataset,description.dataset,tags.dataset,column_name,column_datatype,python_type,score,nb_distinct,nb_missing_values,top_1,top_2,top_3,definition,llm_origin
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Reference_de_la_notice,string,string,1.0,597479,0,MHR43_00392987ZA,AP77LS01736,AP77LS02129,"Identifiant unique attribué à une notice documentaire pour référencer un phototype, un tirage ou un document dans le fonds MPP.",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Modalite_d_entree,string,string,1.0,190,281659,Achat en 1950,Versement,"Photographie produite par la SPA, Section photographique de l'armée","Mode d'acquisition ou de dépôt du document dans les collections (achat, don, versement administratif, production interne, etc.).",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Adresse_de_la_personne_photographiee,string,string,1.0,2,597467,pb,"33, Boulevard de Courcelles",,"Adresse postale ou indication géographique liée à la personne représentée sur la photographie, si disponible.",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Adresse_non_normalisee,adresse,string,0.8019240906694781,19612,488733,place de l'Eglise,le Village,Jacques-Villon (rue) 2,"Adresse saisie sous sa forme brute, sans standardisation ni correction, telle qu’elle apparaît dans les sources originales.",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Adresse_format_editorial,adresse,string,0.96015625,18459,501087,Eglise (place de l'),Village (le),2 rue Jacques-Villon,Adresse reformulée selon des règles éditoriales normalisées pour une présentation homogène et lisible.,mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Aire_d_etude,commune,string,0.9849397590361446,100,584454,Aube,Amiens,Marmoutier,"Zone géographique ou territoire faisant l’objet d’une étude spécifique, souvent une commune ou une région administrative.",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Ancien_numero_de_l_original,string,string,1.0,11256,584454,3681,75Y1632,5887,Ancienne référence ou numéro d’inventaire attribué à l’original avant sa recatalogation dans le système actuel.,mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Ancien_numero_du_negatif,string,string,1.0,63253,532069,LVN1697VN,LVN1697PNR005,89L000010,Identifiant historique attribué à un négatif photographique avant sa réindexation dans la base de données.,mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Ancien_numero_du_tirage,string,string,1.0,9230,587936,4,J/83/38,493,"Numéro d’archivage initial d’un tirage photographique, antérieur à sa référence actuelle.",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Auteur_du_phototype_ou_du_document,string,string,1.0,5,596485,"Comte, Yvon","Peiré, Jean-François",Agence Bruno Decrock,"Nom de la personne ou de l’entité responsable de la création du phototype (négatif, diapositive, etc.) ou du document reproduit.",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Auteur_de_la_gravure,string,string,1.0,32,597358,Villain,"Bayot, Adolphe","Bayot, Adolphe;Freeman","Nom de l’artiste ou de l’artisan ayant réalisé une gravure, souvent mentionnée dans les documents graphiques ou imprimés.",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Auteur_de_l_oeuvre_representee,string,string,1.0,8168,554730,"Carné, Marcel (1909-1996)",Christian-Jaque (1904-1994),"Autant-Lara, Claude (1901-2000)","Créateur de l’œuvre (film, pièce de théâtre, peinture, etc.) représentée ou documentée par la photographie.",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Auteur_de_l_oeuvre_original,string,string,1.0,864,590456,auteur inconnu,"Viollet-le-Duc, Eugène","Le Boyer, Noël","Auteur de l’œuvre originale (bâtiment, objet, etc.) dont une reproduction ou une photographie a été réalisée.",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Auteur_de_la_photographie,string,string,1.0,3219,52646,Atelier Nadar (1855-1939),"Henrard, Roger (1900-1975)","Genestoux, Franck","Nom du photographe ayant réalisé la prise de vue, distinct de l’auteur de l’œuvre représentée.",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Photographe,string,string,1.0,57,596269,Egger René;Jaulmes Philippe (architecte);Deshons Jean-Claude (architecte),Grégori Guy (architecte),Bernard Elie-Marcel (architecte),"Nom du professionnel ou de l’atelier ayant exécuté la photographie, incluant parfois des collaborateurs (architectes, etc.).",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Auteur_du_tirage,string,string,1.0,87,588546,"Kenna, Michael (né en 1953)","Hudry, Hervé;Publimod","Batho, John (né en 1939)",Personne ou structure ayant réalisé le tirage photographique à partir d’un négatif ou d’un fichier numérique.,mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Chronologie,string,string,1.0,0,597479,,,,"Période ou date associée à l’œuvre, au document ou à l’événement représenté, si cette information est disponible.",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Producteur_du_film,string,string,1.0,898,588823,Producteur : RIC-Geneva ; RAC,Fox Film Corporation (producteur) ; Fox Film Corporation (distributeur),Producteur : La Société des films Sirius ; Les films Ariane,Nom de la société ou de l’entité ayant produit un film documenté ou représenté dans les archives photographiques.,mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Commune_non_normalisee,string,string,1.0,21147,123259,Paris,Nice,Avignon,"Nom de la commune tel qu’indiqué dans les sources originales, sans harmonisation orthographique ou administrative.",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Commune_format_editorial,string,string,1.0,20949,126126,Paris,Nice,Avignon,"Nom de la commune standardisé selon les règles officielles (orthographe, code postal, etc.) pour une utilisation normalisée.",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Contact,string,string,1.0,0,597479,,,,"Coordonnées (email, téléphone, adresse) d’un responsable ou d’un service lié au document ou à la notice, si renseigné.",mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Copyright,string,string,1.0,0,597479,,,,Mentions légales relatives aux droits d’auteur ou de reproduction applicables à l’image ou au document archivé.,mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Cote_de_conservation_du_document_reproduit,string,string,1.0,9342,576567,2022/25,1999/044,Int,Localisation physique ou référence d’archivage du document original reproduit dans les collections.,mistral-large-latest
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Cote_de_conservation_du_phototype,string,string,1.0,0,597479,,,,"Emplacement ou référence interne permettant de retrouver le phototype (négatif, diapositive) dans les réserves.",mistral-large-latest
