id.dataset,id.ressource,title.dataset,description.dataset,tags.dataset,column_name,column_datatype,python_type,score,nb_distinct,nb_missing_values,top_1,top_2,top_3,definition
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Reference_de_la_notice,string,string,1.0,597479,0,MHR43_00392987ZA,AP77LS01736,AP77LS02129,Identifiant unique attribué à chaque notice dans la base de données.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Modalite_d_entree,string,string,1.0,190,281659,Achat en 1950,Versement,"Photographie produite par la SPA, Section photographique de l'armée",Méthode ou circonstance par laquelle un document ou une photographie a été intégré dans la collection.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Adresse_de_la_personne_photographiee,string,string,1.0,2,597467,pb,"33, Boulevard de Courcelles",,Lieu où réside ou a résidé la personne photographiée.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Adresse_non_normalisee,adresse,string,0.8019240906694781,19612,488733,place de l'Eglise,le Village,Jacques-Villon (rue) 2,Adresse d'un lieu ou d'un bâtiment sans formatage standardisé.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Adresse_format_editorial,adresse,string,0.96015625,18459,501087,Eglise (place de l'),Village (le),2 rue Jacques-Villon,Adresse d'un lieu ou d'un bâtiment présentée dans un format éditorial.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Aire_d_etude,commune,string,0.9849397590361446,100,584454,Aube,Amiens,Marmoutier,Zone géographique ou administrative étudiée ou documentée.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Ancien_numero_de_l_original,string,string,1.0,11256,584454,3681,75Y1632,5887,Numéro précédemment attribué à l'original d'un document ou d'une photographie.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Ancien_numero_du_negatif,string,string,1.0,63253,532069,LVN1697VN,LVN1697PNR005,89L000010,Numéro précédemment attribué au négatif d'une photographie.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Ancien_numero_du_tirage,string,string,1.0,9230,587936,4,J/83/38,493,Numéro précédemment attribué au tirage d'une photographie.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Auteur_du_phototype_ou_du_document,string,string,1.0,5,596485,"Comte, Yvon","Peiré, Jean-François",Agence Bruno Decrock,Personne ou entité ayant créé le phototype ou le document.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Auteur_de_la_gravure,string,string,1.0,32,597358,Villain,"Bayot, Adolphe","Bayot, Adolphe;Freeman",Personne ayant réalisé une gravure.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Auteur_de_l_oeuvre_representee,string,string,1.0,8168,554730,"Carné, Marcel (1909-1996)",Christian-Jaque (1904-1994),"Autant-Lara, Claude (1901-2000)",Créateur de l'œuvre représentée dans le document ou la photographie.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Auteur_de_l_oeuvre_original,string,string,1.0,864,590456,auteur inconnu,"Viollet-le-Duc, Eugène","Le Boyer, Noël",Créateur de l'œuvre originale documentée ou photographiée.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Auteur_de_la_photographie,string,string,1.0,3219,52646,Atelier Nadar (1855-1939),"Henrard, Roger (1900-1975)","Genestoux, Franck",Personne ayant pris la photographie.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Photographe,string,string,1.0,57,596269,Egger René;Jaulmes Philippe (architecte);Deshons Jean-Claude (architecte),Grégori Guy (architecte),Bernard Elie-Marcel (architecte),Personne ou entité responsable de la prise de vue photographique.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Auteur_du_tirage,string,string,1.0,87,588546,"Kenna, Michael (né en 1953)","Hudry, Hervé;Publimod","Batho, John (né en 1939)",Personne ayant réalisé le tirage photographique.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Chronologie,string,string,1.0,0,597479,,,,Période ou séquence temporelle associée au document ou à la photographie.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Producteur_du_film,string,string,1.0,898,588823,Producteur : RIC-Geneva ; RAC,Fox Film Corporation (producteur) ; Fox Film Corporation (distributeur),Producteur : La Société des films Sirius ; Les films Ariane,Entité ou personne responsable de la production d'un film.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Commune_non_normalisee,string,string,1.0,21147,123259,Paris,Nice,Avignon,Nom d'une commune sans formatage standardisé.
6842b8e772325215e9dbf196,ad59533c-1c18-4eb4-a079-7e061ec5dbcd,MEMOIRE FONDS MPP,"TEST MEMOIRE
",,Commune_format_editorial,string,string,1.0,20949,126126,Paris,Nice,Avignon,Nom d'une commune présenté dans un format éditorial.
